"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"386",16.9441,410.478,1.7822,94.4,3,9
"387",13.4591,309.321,3.0026,60.7,4,5
"388",4.7755,350.513,3.0019,94.89,3,7
"389",0.0067,358.435,0.805200000000002,116.17,2,8
"390",26.8545,303.383,3.4346,47.56,2,5
"391",0.2685,238.294,2.61954,56.73,3,4
"392",4.7755,524.598,6.24970000000001,90.51,6,8
"393",26.8545,279.299,2.8907,64.11,3,5
"394",1.0691,314.392,4.26234,56.21,4,4
"395",19.0115,291.332,2.27552,81.18,2,7
"396",4.7755,326.237,4.9561,4.93,4,2
"397",1.0691,266.3,3.8023,48.15,3,4
"398",15.1014,307.378,3.62828,77.54,2,5
"399",0.8492,337.404,3.86312,81.15,4,6
"400",11.9955,249.31,2.8597,29.1,2,4
"401",15.1014,363.442,4.1992,55.21,4,6
"402",15.1014,233.292,3.009,38.33,2,4
"403",6.7456,267.284,3.6937,51.47,3,4
"404",19.0115,470.566,3.5495,116.17,3,8
"405",19.0115,291.42,2.60404,41.15,3,5
"406",26.8545,361.456,2.65822,111.73,3,10
"407",2.3934,283.352,3.71362,43.1,4,4
"408",21.3313,275.337,1.90902,83.41,2,7
"409",9.5283,336.8,4.0858,64.36,3,7
"410",23.9341,369.468,5.13604,45.98,4,4
"411",11.9955,301.777,3.5875,45.23,3,5
"412",13.4591,249.314,1.2173,61.44,1,5
"413",1.1995,315.442,3.1917,38.13,3,5
"414",5.3582,243.266,2.1276,64.11,2,5
"415",0.6746,286.356,4.2539,48.15,3,5
"416",2.3934,318.376,4.3724,36.28,4,4
"417",3.3808,235.246,3.3711,54.71,4,4
"418",26.8545,268.341,3.4775,41.99,3,4
"419",2.1331,308.175,4.4178,42.24,2,4
"420",11.9955,271.316,3.02112,47.56,2,4
"421",13.4591,243.331,3.94989,26.03,3,3
"422",4.7755,373.412,4.3507,57.02,5,6
"423",16.9441,293.326,3.2808,64.11,3,5
"424",21.3313,299.355,3.4325,61.04,3,6
"425",1.3459,267.313,3.6867,64.94,4,5
"426",16.9441,313.317,0.928799999999999,91.9,3,8
"427",11.9955,320.396,4.1437,70.67,4,5
"428",19.0115,285.328,2.9522,64.11,3,6
"429",13.4591,319.386,2.3555,64.55,3,7
"430",13.4591,269.348,3.5067,47.04,3,4
"431",15.1014,294.314,2.42552,62.06,4,6
"432",16.9441,299.311,2.6723,73.34,4,7
"433",7.5686,313.382,3.9736,67.16,3,6
"434",16.9441,290.366,4.1107,41.99,4,3
"435",13.4591,246.335,3.32,34.15,2,4
"436",8.4921,314.297,2.1655,101.13,3,7
"437",2.1331,273.386,4.31862,37.81,3,5
"438",16.9441,344.323,2.1741,110.36,3,8
"439",19.0115,296.351,2.6078,50.27,5,5
"440",2.3934,255.346,3.55862,41.57,3,4
"441",10.691,316.342,2.4783,81.35,3,8
"442",5.3582,297.383,4.26572,47.04,3,5
"443",16.9441,259.309,1.87722,51.39,3,5
"444",16.9441,323.421,3.44152,82,4,5
